epoch,train_mse,val_mse,mean_active
1,0.035586151599884035,0.026666180892866483,4.985
2,0.01742254540324211,0.012846035981664852,7.54
3,0.011648762613534928,0.010897404174415433,7.335
4,0.010424570970237254,0.010276423035835733,7.455
5,0.009925752237439156,0.010000357554883373,7.66
6,0.00963001736998558,0.009976139847113161,7.61
7,0.009541021704673767,0.009671764836019399,7.485
8,0.009237775661051273,0.009577877691813877,7.625
9,0.008952696524560452,0.009272784700199049,7.68
10,0.008788026813417673,0.009320298700916524,7.67
11,0.00870743178203702,0.008940701265724337,7.69
12,0.008427628055214883,0.00892553954708333,7.72
