run,epoch,val_mse,mean_active
m256_lam0.0008_lr0.001_bs8_e12_seed42,11,0.011851813622883388,4.85
m256_lam0.0003_lr0.001_bs8_e12_seed42,12,0.009593662899367663,6.785
m256_lam0.0005_lr0.001_bs8_e12_seed42,12,0.00892553954708333,7.72
m384_lam0.0008_lr0.001_bs8_e12_seed42,12,0.008443548411739115,8.605
m384_lam0.0005_lr0.001_bs8_e12_seed42,12,0.007522640921631638,11.37
m384_lam0.0003_lr0.001_bs8_e12_seed42,12,0.005254202716204585,33.815
