epoch,train_mse,val_mse,mean_active
1,0.03130418159067631,0.019620297101079202,6.64
2,0.016564539007842542,0.01295896559345479,7.62
3,0.011628238219767809,0.010706063654957985,9.31
4,0.01004689659923315,0.00972642244124899,8.51
5,0.009465236745774746,0.009362509056013458,8.47
6,0.009074955880641937,0.009403396479937496,8.585
7,0.008798198539763689,0.009039731341965344,8.695
8,0.008570139829069377,0.008863240285795562,8.64
9,0.008428265541791916,0.00866446353951279,8.625
10,0.008236820317804813,0.008562987118351217,8.735
11,0.008189164698123932,0.00885656476020813,8.78
12,0.008009577382355929,0.008443548411739115,8.605
