epoch,train_mse,val_mse,mean_active
1,0.03624691478908062,0.027205762035992682,2.04
2,0.01980016355216503,0.016463909927679567,3.895
3,0.01415766128897667,0.013210676981478322,4.78
4,0.012758590307086707,0.012568661923311195,4.77
5,0.012331831555813551,0.012257184447074423,4.82
6,0.012103585485368967,0.012463593264015353,4.82
7,0.01200701655074954,0.012164297468808233,4.855
8,0.011857452493160963,0.012080295061578556,4.87
9,0.011721611399203538,0.011983544120983201,4.88
10,0.011719667781144381,0.012048050384132229,4.87
11,0.01163743292912841,0.011851813622883388,4.85
12,0.011432482194155455,0.012055988603708696,4.905
