epoch,train_mse,val_mse,mean_active
1,0.031018774464726447,0.02689885377883911,8.045
2,0.018846690371632575,0.013589187349591936,10.72
3,0.01179042223840952,0.010872575701499472,11.245
4,0.01020572615414858,0.009848009080302958,11.39
5,0.00931166711077094,0.00910980538446076,11.45
6,0.008615678749978543,0.008824291204919621,11.45
7,0.008081903465092181,0.008353554059048088,11.51
8,0.007852136977016927,0.008046275231303001,11.435
9,0.007497270777821541,0.007873756180004198,11.385
10,0.007300425976514816,0.007610720931267252,11.495
11,0.007111242182552814,0.007926649658047423,11.525
12,0.006933229476213455,0.007522640921631638,11.37
